Запрян	31
Ина	31
Костадина	31
Коцо	31
Лило	31
Мильо	31
Начко	31
Фердинанд	31
Хараламби	31
Адриан	30
Анушка	30
Божин	30
Дечко	30
Иваничка	30
Танчо	30
Трънка	30
Яне	30
Алберт	29
Борянка	29
Герго	29
Денко	29
Желязка	29
Илийчо	29
Катюша	29
Лариса	29
Моис	29
Нейко	29
Първолетка	29
Радостин	29
Русин	29
Славко	29
Тенчо	29
Варадин	28
Вероника	28
Дако	28
Димитрия	28
Йордана	28
Койчо	28
Лучия	28
Мирко	28
Миряна	28
Сандо	28
Стоя	28
Теню	28
Теофана	28
Витко	27
Владко	27
Зафир	27
Клавдия	27
Митьо	27
Парашкев	27
Пелагия	27
Поля	27
Румянка	27
Руско	27
Севдалин	27
Софрони	27
Стамболка	27
Станьо	27
Цоко	27
Цочо	27
Ботю	26
Велина	26
Въло	26
Данко	26
Донко	26
Жельо	26
Зойка	26
Иринка	26
Ленин	26
Лефтера	26
Лозанка	26
Лулчо	26
Мика	26
Найчо	26
Никодим	26
Първолета	26
Роска	26
Стамо	26
Стефко	26
Флора	26
Банко	25
Бисера	25
Гюла	25
Драганка	25
Душко	25
Елица	25
Жак	25
Зарко	25
Истилиян	25
Карамфилка	25
Кръсто	25
Лало	25
Линка	25
Нада	25
Неофит	25
Петка	25
Радосвета	25
Савчо	25
Стояна	25
Цачо	25
Альоша	24
Арангел	24
Венцислава	24
Влайко	24
Гица	24
Горка	24
Дано	24
Ерина	24
Ерменка	24
Звезда	24
Илина	24
Керанка	24
Кунчо	24
Лалю	24
Ленка	24
Леон	24
Лила	24
Маня	24
Нисим	24
Пано	24
Продан	24
Сокол	24
Станю	24
Стоядин	24
Тота	24
Агнеса	23
Алла	23
Бинка	23
Божан	23
Детелин	23
Динчо	23
Елизабета	23
Елина	23
Ема	23
Игор	23
Кръстанка	23
Ксения	23
Кула	23
Лилян	23
Лорета	23
Милети	23
Миролюб	23
Николайчо	23
Николица	23
Панко	23
Перса	23
Соломон	23
Сталин	23
Томислав	23
Феодор	23
Щерю	23
Ягодинка	23
Алеко	22
Арахангел	22
Белчо	22
Ванко	22
Венчо	22
Вита	22
Гюро	22
Дана	22
Зинови	22
Златина	22
Ира	22
Йовко	22
Меглена	22
Нанко	22
Раденко	22
Радомир	22
Ружка	22
Санка	22
Сара	22
Славейка	22
Снежа	22
Струмка	22
Султана	22
Султанка	22
Тако	22
Чудомир	22
Яко	22
Александрия	21
Анчо	21
Божия	21
Вичо	21
Вуто	21
Горица	21
Господинка	21
Григорий	21
Давидко	21
Дена	21
Дичо	21
Елиана	21
Жечко	21
Жечо	21
Ивета	21
