Дамянова	288
Дойчинов	288
Ценов	286
Дончева	285
Апостолова	284
Симов	283
Вълчева	280
Манов	280
Стойкова	280
Тонев	280
Трайков	279
Игнатова	278
Милушев	278
Панов	272
Манчев	270
Станчева	270
Пеев	268
Драганов	267
Сотирова	267
Велинова	266
Начев	266
Велкова	265
Узунов	265
Божков	263
Динев	263
Ненов	263
Евтимов	257
Пенчева	254
Шопов	254
Лозанов	252
Коцева	249
Станева	248
Грозданов	247
Ганев	245
Вълкова	244
Константинова	244
Соколова	244
Цонев	244
Гюров	242
Кирилов	240
Панчев	240
Благоев	238
Панайотова	238
Велчев	235
Минков	235
Генчев	234
Недялкова	234
Трайкова	234
Наков	232
Райков	232
Асенов	231
Гергов	231
Генова	230
Даскалов	230
Тончев	230
Антов	229
Трифонова	228
Златков	227
Драганова	226
Йосифова	226
Пешева	226
Цанков	226
Цекова	225
Паунов	224
Веселинов	223
Йотова	221
Пеева	221
Михов	220
Стоичкова	220
Мирчев	219
Ганчева	218
Минев	217
Минчева	217
Станоев	217
Иванчев	215
Русева	215
Гигов	214
Гълъбова	214
Първанов	214
Славова	213
Тасева	213
Горанов	212
Танева	210
Янакиева	209
Върбанов	207
Асенова	205
Божкова	205
Васев	205
Кънчев	205
Тотев	205
Цолов	203
Панова	202
Златанов	201
Симова	201
Зарев	200
Каменова	200
Узунова	200
Кръстанов	198
Манова	198
Стаменова	197
Манчева	196
Пенков	196
Минкова	195
Шопова	195
Виденов	194
Алексов	193
Терзиев	193
Тонева	193
Аврамова	191
Динева	190
Накова	189
Чакъров	188
Здравков	187
Мишев	187
Цонева	187
Чолаков	186
Даскалова	185
Кирилова	184
Начева	183
Благоева	182
Дойчинова	182
Митрев	182
Анастасов	181
Арнаудов	180
Велчева	180
Господинов	180
Пейчева	180
Цанев	180
Гаврилов	179
Първанова	179
Генчева	177
Милушева	173
Стайков	173
Желев	172
Славчев	172
Тончева	172
Коларов	171
Рачев	171
Грозданова	169
Малинов	169
Вучков	168
Кожухаров	168
Лозанова	167
Гюрова	166
Евтимова	165
Кузманов	165
Матеев	165
Методиев	165
Дойчев	164
Златкова	164
Котев	164
Чолакова	164
Ганева	163
Нинов	163
Янчев	162
Живков	161
Миленков	161
Минева	161
Славков	161
Донев	160
Коларова	160
Трендафилов	160
Кънев	159
Райкова	159
Терзиева	159
Арсов	158
Вутов	158
Горанова	158
Ненков	158
Панчева	158
Кацаров	157
Неделчев	157
Ташев	157
Делчев	156
Кирков	156
Крумов	156
Стойнов	156
Диков	155
Михова	155
Цанов	155
Гогов	154
Йончев	154
Ставрев	154
Цанкова	154
Антова	153
Балабанов	153
Желязков	153
Лилов	153
Петрунов	153
Витанов	152
Грънчаров	152
Паунова	152
Якимов	152
Върбанова	151
Господинова	151
Донков	151
Топалов	151
Ценова	150
Ботев	149
Златев	149
Илчев	149
Виденова	148
Караджов	148
Ненова	148
Арнаудова	147
Гигова	146
Желева	146
Любенов	146
Недков	146
Бакалов	145
Хаджиев	145
Гергова	144
Тасков	144
Мартинов	143
Бъчваров	142
Кожухарова	142
Кънчева	142
Славчева	142
Анастасова	141
Веселинова	141
Тотева	141
Йовчев	140
Груев	138
Кузманова	138
Ценков	138
Терзийски	137
Бъчварова	136
Кръстанова	136
Миков	136
Стойнев	136
Геров	135
Васева	134
Жеков	134
Иванчева	134
Калчев	134
Панев	134
Русинов	134
Гаврилова	133
Желязкова	133
Кьосев	133
Ташева	133
Дочев	132
Мирчева	132
Събев	132
Чернев	132
Станоева	131
Данчев	130
Лалов	130
Митрева	130
Шишков	130
Зарков	127
Момчилов	127
Кацарова	126
Райчев	126
Ризов	126
Ставрева	126
Тенев	126
Чакърова	126
Ботева	125
Коев	125
Маджаров	125
Недев	125
Рачева	125
Табаков	125
Танчев	125
Бачев	124
Божинов	124
Деянов	124
Дикова	124
Караиванов	124
Кънева	124
Цанева	124
Арсова	123
Златева	123
Наумов	123
Нешев	123
Малинова	122
Стайкова	122
Трендафилова	122
Зарева	121
Златанова	121
Матеева	121
Недкова	121
Здравкова	120
Белчев	119
Гоцев	119
Гочев	119
Данов	119
Донева	119
Калчева	119
Пенкова	118
Алексова	117
Витанова	117
Енчев	117
Луканов	117
Миленкова	117
Живкова	116
Недева	116
Ников	116
Венков	115
Милчев	115
Мицева	114
Янчева	114
Боев	113
Вучкова	113
Мишева	113
Нинова	113
Харизанов	113
Анев	112
Гергинов	112
Йончева	112
Неделчева	112
Стоилков	112
Вълев	111
Миленов	111
Наумова	111
Райчева	111
Данаилов	110
Касабов	110
Котева	110
Крумова	110
Паскалев	110
Рашков	110
Божинова	109
Бончев	109
Боянов	109
Владов	109
Митков	109
Ненкова	109
Бакалова	108
Мицев	108
Тошков	108
Гешев	107
Таскова	107
Якимова	107
Банков	106
Денков	106
Хаджиева	106
Дюлгеров	105
Миладинов	105
Милков	105
Петрунова	105
Белев	104
Динков	104
Методиева	104
Нейков	104
Топалова	104
Груева	103
Бакърджиев	102
Делчева	102
Зашев	102
Коева	102
Манев	102
Радулов	102
Сираков	102
Цолова	102
Чернева	102
Грънчарова	101
Денчев	101
Лазов	101
Славкова	101
Цанова	101
Данчева	100
Кочев	100
Стойнова	100
Хаджийски	100
Еленков	99
Йовчева	99
Кьосева	99
Тричков	99
Шишкова	99
Зафиров	98
Косев	98
Мартинова	98
Паскалева	98
Белчева	97
Войнов	97
Енчева	97
Киркова	97
Лилова	97
Ташков	97
Леви	96
Табакова	96
Харалампиев	96
Великов	95
Дойчева	95
Танчева	95
Терзийска	95
Абаджиев	94
Балабанова	94
Бойчев	94
Леков	94
Караджова	93
Серафимова	93
Вучев	92
Денев	92
Донкова	92
Луканова	92
